 ID	type	statut	faune_amphibiens	faune_reptiles	faune_odonates	faune_invertebres	faune_autre	faune_poissons	faune_anatides	aucun	type_de_mare	evolution	abreuvoiramenage	abreuvoirnonamenage	collecteruissellement	peche	chasse	reserve_incendie	ornemental	biodiversite	patrimoine	pedagogique	abandonne	lagunage	inconnu	pompe_a_nez	dechets	topo	contexte1	contexte2	petitpatrimoinebati	cloture	haie	forme	L	l	profondeur	nature_fond	berges	bourrelet	pietinement	regime-hydrau	liaison_reseau	alim_specifique	turbidite	helophytes	hydroenra	hydrononenra	algues	eau_libre	fond_exonde	boisement	ombrage	presence_faune_exotique	presence_flore_exotique	travaux_aucun	travaux_curage	travaux_profilage_berge	travaux_bucheronnage	travaux_debroussaillage	travaux_pose_de_cloture	travaux_abreuvoir	travaux_lutte_contre_EEE	travaux_nettoyage_dechets	travaux_arrachage	travaux_fonctionnement_hydraulique	travaux_fauchage_tardif	travaux_autres	Objectifs_travaux
76391_0720	mare	public	NA	NA	NA	NA	NA	NA	NA	NA	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	versant	bois_de_feuillus	NA	aucun	non	non	carre_rectangle	8	7	15	naturel	100	non	faible_a_nul	mare_temporaire	aucun	aucune	trouble	0	0	0	0	0	100	100	100	NA	NA	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76391_0722	mare	public	non	non	non	non	non	non	non	oui	de_foret	2	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NA	aucun	non	non	ronde_ovale	10	10	15	naturel	12.5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	0	0	90	0	10	0	100	82.5	NA	NA	non	non	non	non	non	non	non	non	non	non	non	non	oui	enlever_souches
76391_0723	mare	public	non	non	non	non	non	non	non	oui	de_foret	2	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NA	aucun	non	non	ronde_ovale	8	9	15	naturel	62.5	oui	faible_a_nul	mare_permanente	fosse_noue	aucune	trouble	5	0	75	0	20	0	12.5	82.5	NA	NA	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76391_0725	mare	public	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NA	aucun	non	non	ronde_ovale	17	12	0	inconnu	0	NA	localise	mare_permanente	aucun	aucune	trouble	0	0	20	0	0	80	32.5	62.5	NA	NA	non	oui	non	non	non	non	non	non	non	non	non	non	non	NA
76391_0862	mare	public	non	non	non	non	non	non	non	oui	de_foret	NA	non	non	non	non	non	non	non	non	non	non	oui	non	non	non	aucun	plateau	NA	NA	aucun	non	NA	ronde_ovale	10	8	0	naturel	32.5	non	faible_a_nul	NA	NA	aucune	NA	NA	NA	NA	NA	NA	NA	62.5	82.5	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76391_0863	mare	public	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	non	non	non	oui	non	non	NA	aucun	plateau	bois_de_feuillus	NA	aucun	non	non	ronde_ovale	3	2	NA	naturel	62.5	non	NA	NA	NA	NA	NA	10	0	0	0	0	90	100	62.5	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76391_1115	mare	public	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	bois_de_feuillus	NA	aucun	non	non	ronde_ovale	9	7	0	naturel	32.5	non	faible_a_nul	indeterminee	aucun	aucune	NA	0	0	0	0	0	100	32.5	12.5	NA	NA	non	non	non	non	non	non	non	non	non	non	non	non	oui	r_am_nagement
76391_1117	mare	public	non	non	non	non	non	non	non	oui	de_foret	3	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NA	aucun	non	non	ronde_ovale	15	10	15	naturel	62.5	non	faible_a_nul	mare_permanente	fosse_noue	indetermine	limpide	50	25	15	0	5	5	12.5	12.5	non	NA	non	non	oui	non	non	non	non	non	non	oui	non	non	non	conservation_mare
76540_0300	mare	public	non	non	non	non	non	non	non	oui	de_prairie	3	non	non	non	non	non	non	non	oui	oui	non	non	non	non	non	aucun	plateau	prairie_humide	NA	aucun	non	non	ronde_ovale	25	20	80	naturel	62.5	non	faible_a_nul	mare_permanente	aucun	indetermine	limpide	50	30	0	5	5	0	0	0	non	non	non	non	non	non	oui	non	non	non	non	oui	non	non	non	lutte_contre_envahissement_vegetal
76540_0309	mare	public	non	non	non	non	non	non	non	oui	de_prairie	3	non	non	non	non	non	non	non	oui	oui	non	non	non	non	non	aucun	plateau	prairie_humide	NA	ponton	non	non	ronde_ovale	20	10	45	naturel	32.5	non	faible_a_nul	mare_permanente	aucun	indetermine	limpide	30	40	0	15	15	0	12.5	0	non	non	non	non	non	non	oui	non	non	non	non	oui	non	non	non	lutte_contre_envahissement_vegetal
76540_0310	mare	public	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	4	non	non	non	non	non	non	oui	oui	non	non	non	non	non	non	aucun	plateau	jardin_parc_cour_de_ferme	NA	ponton	en_partie	oui	ronde_ovale	8	5	15	NA	12.5	non	faible_a_nul	mare_permanente	axe_de_ruissellement	indetermine	limpide	33	60	0	2	5	0	32.5	12.5	non	non	oui	oui	non	non	non	non	non	non	non	oui	non	non	non	lutte_contre_la_disparition_de_la_mare
76540_0311	mare	public	non	non	non	non	non	non	non	oui	de_prairie	1	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	prairie_humide	NA	aucun	non	non	ronde_ovale	1,4	1,2	15	naturel	12.5	non	faible_a_nul	mare_permanente	inconnu	indetermine	limpide	0	0	0	0	0	0	0	0	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76540_0312	mare	public	non	non	non	oui	non	non	non	non	de_village_de_ferme_de_parc_de_jardin	2	non	non	non	non	non	non	oui	oui	non	non	non	non	non	non	aucun	plateau	jardin_parc_cour_de_ferme	NA	ponton	en_partie	non	complexe	4,5	3	45	bache	32.5	non	faible_a_nul	mare_permanente	inconnu	autre	limpide	20	0	10	0	70	0	12.5	12.5	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76540_0313	mare	public	non	non	non	oui	non	oui	non	non	de_village_de_ferme_de_parc_de_jardin	2	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	aucun	plateau	jardin_parc_cour_de_ferme	NA	aucun	totalement	non	ronde_ovale	2	1,8	15	bache	12.5	non	faible_a_nul	mare_permanente	inconnu	aucune	limpide	0	80	0	0	20	0	0	0	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76540_0314	mare	public	non	non	non	non	non	non	non	oui	je_ne_sais_pas	3	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	aucun	plateau	fourres_bosquets	NA	muret	non	non	carre_rectangle	38	2	15	NA	0	non	faible_a_nul	mare_permanente	axe_de_ruissellement	indetermine	limpide	2	50	0	0	48	0	0	62.5	non	non	oui	oui	non	non	non	non	non	non	non	oui	non	non	non	eviter_le_comblement_de_la_mare
76540_0315	mare	public	non	non	non	non	non	non	non	oui	de_village_de_ferme_de_parc_de_jardin	NA	non	non	non	non	non	non	oui	non	non	non	non	non	non	non	non	plateau	jardin_parc_cour_de_ferme	NA	aucun	non	non	NA	NA	NA	0	inconnu	0	non	faible_a_nul	indeterminee	inconnu	indetermine	NA	0	0	0	0	0	100	0	0	non	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	mare_comblee
76709_0220	mare	public	NA	NA	NA	NA	NA	NA	NA	NA	de_prairie	4	non	non	non	non	non	non	non	oui	oui	non	non	non	non	non	dechets_recyclables_dechets_inertes	fond_de_vallee	prairie_humide	NA	aucun	non	non	carre_rectangle	51	6	15	naturel	62.5	non	faible_a_nul	mare_permanente	fosse_noue	aucune	limpide	0	5	0	0	60	35	12.5	12.5	non	non	non	oui	non	non	non	non	non	non	oui	non	non	non	non	eviter_le_comblement_de_la_mare
76709_0221	mare	public	non	non	non	non	non	non	non	oui	de_marais	4	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	fond_de_vallee	bas_marais_tourbiere_alcaline	prairie_humide	aucun	non	non	ronde_ovale	50	30	0	naturel	62.5	non	faible_a_nul	indeterminee	aucun	nappe	NA	NA	NA	NA	NA	NA	NA	32.5	37.5	NA	NA	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76709_0222	mare	public	oui	non	non	oui	non	non	non	non	de_prairie	2	non	non	oui	non	non	non	non	oui	non	non	non	non	non	non	aucun	fond_de_vallee	prairie_humide	NA	aucun	totalement	non	carre_rectangle	30	7	80	naturel	62.5	non	faible_a_nul	mare_permanente	drainage_pompage	ruissellement_culture	limpide	5	15	0	10	70	0	0	0	NA	NA	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76709_0223	mare	public	NA	NA	NA	NA	NA	NA	NA	NA	de_prairie	NA	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	aucun	fond_de_vallee	prairie_humide	NA	aucun	non	NA	patatoide	0	0	NA	naturel	NA	non	faible_a_nul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76709_0224	mare	public	oui	non	non	oui	non	non	non	non	de_prairie	3	non	non	oui	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	prairie_humide	NA	aucun	totalement	non	carre_rectangle	30	7	80	naturel	100	non	faible_a_nul	mare_permanente	aucun	ruissellement_culture	limpide	5	10	1	70	14	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	equilibrer_les_apports_(MO_N)_algues
76709_0225	mare	public	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	aucun	fond_de_vallee	prairie_humide	NA	aucun	non	NA	patatoide	0	0	NA	naturel	NA	non	faible_a_nul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76709_0226	mare	public	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	non	oui	non	non	non	non	non	non	non	non	non	non	non	non	aucun	fond_de_vallee	prairie_humide	NA	aucun	non	NA	ronde_ovale	0	0	NA	naturel	NA	non	faible_a_nul	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76709_0229	mare	public	non	non	non	oui	non	non	non	non	de_prairie	3	non	oui	oui	non	non	non	non	oui	non	non	non	non	non	non	aucun	fond_de_vallee	prairie_humide	fourres_bosquets	aucun	non	NA	carre_rectangle	20	15	15	naturel	100	non	localise	mare_permanente	cours_d_eau	source	limpide	25	15	1	0	59	0	12.5	12.5	NA	NA	oui	non	non	non	non	non	non	non	non	non	non	non	non	NA
76709_0237	mare	public	NA	NA	NA	NA	NA	NA	NA	NA	de_prairie	4	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	fond_de_vallee	lande_humide	NA	aucun	non	non	ronde_ovale	6	7	0	naturel	100	non	faible_a_nul	indeterminee	aucun	aucune	NA	100	0	0	0	0	0	0	0	non	NA	oui	non	non	non	non	non	non	non	non	non	non	non	non	mare_comblee
