ID	X (L93)	Y (L93)	nom_commune	insee_comm	m_source	type	statut	caracterise	commentaire	photo	date	amphibien	reptile	odonate	invertebre aquatique	faune_autre	poisson	anatide	faune_aucun	type_de_mare	evolution	abreuvoir_amenage	abreuvoir_non_amenage	collecte_ruissellement	peche	chasse	reserve_incendie	ornemental	biodiversite	patrimoine	pedagogique	abandonne	lagunage	usage_inconnu	pompe_a_nez	dechets	topo	contexte_1	contexte_2	petit_patrimoine_bati	cloture	haie	forme	Longueur	largeur	profondeur	nature_fond	berges	bourrelet	pietinement	regime	liaison_reseau	alim_specifique	turbidite	helophytes	hydrophytes_enracines	hydrophytes_non_enracines	algues	eau_libre	fond_exonde	boisement	ombrage	presence_faune_exotique	presence_flore_exotique	travaux_aucun 	curage	profilage_berge	bucheronnage	debroussaillage	pose_de_cloture	abreuvoir	lutte_contre_EEE	nettoyage_dechets	arrachage	fonctionnement_hydraulique	fauchage tardif	travaux_autre	objectifs_des_travaux
76391_0616	1545973	8239226	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0616_im1/76391_0616_im2/76391_0616_im3	28_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	37	23	15	inconnu	0	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	70	30	0	0	0	0	0	37,5	NC	NC	non	oui	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0617	1545599	8239086	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0617_im1/76391_0617_im2/76391_0617_im3	28_10_2017	non	non	non	oui	non	non	non	non	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	34	26	45	inconnu	32,5	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	80	15	5	0	0	0	12,5	37,5	NC	NC	non	oui	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0618	1545906	8239043	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0618_im1/76391_0618_im2/76391_0618_im3	28_10_2017	oui	non	non	non	non	non	non	non	de_foret	2	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	dechets_verts	plateau	fourres_bosquets	bois_de_feuillus	aucun	non	non	ronde_ovale	34	20	80	inconnu	12,5	non	localise	mare_permanente	fosse_noue	aucune	limpide	35	20	5	0	40	0	12,5	12,5	NC	NC	non	non	non	non	non	non	non	non	non	oui	non	non	non	NC
76391_0620	1547007	8238698	LA LONDE	76391	ONF_2008	mare	public	oui	sphaignes_en_bord_de_mare	76391_0620_im1	28_10_2017	non	non	non	non	oui	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	50	50	15	naturel	62,5	non	localise	mare_permanente	aucun	indetermine	trouble	95	0	0	0	0	5	62,5	12,5	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
76391_0621	1547153	8238725	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0621_im1	28_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	non	non	non	non	non	oui	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	22	12	15	naturel	12,5	non	faible_a_nul	indeterminee	aucun	aucune	trouble	60	0	5	0	10	35	62,5	62,5	NC	NC	non	oui	non	non	non	non	non	non	non	oui	non	non	non	conservation_mare
76391_0622	1547235	8238733	LA LONDE	76391	ONF_2008	mare	public	oui	bouche_incendie_a_proximite	76391_0622_im1	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	3	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	patatoide	14	10	15	naturel	32,5	non	faible_a_nul	mare_permanente	fosse_noue	indetermine	limpide	35	5	45	0	0	15	32,5	37,5	NC	NC	non	oui	non	non	non	non	non	non	non	oui	non	non	non	NC
76391_0626	1549152	8237807	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0626_im1/76391_0626_im2	28_10_2017	non	non	oui	non	non	non	non	non	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	versant	bois_de_feuillus	NC	aucun	non	non	patatoide	42	21	45	naturel	100	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	40	0	60	0	0	0	100	62,5	NC	NC	non	oui	non	non	non	non	non	non	non	non	non	non	non	nettoyage
76391_0627	1549283	8237701	LA LONDE	76391	ONF_2008	mare	public	oui	semble_retrecit	76391_0627_im1/76391_0627_im2	28_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	dechets_recyclables	plateau	bois_de_feuillus	NC	aucun	non	non	patatoide	31	13	80	naturel	100	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	0	0	50	0	0	50	100	62,5	NC	NC	non	oui	non	non	non	non	non	non	oui	non	non	non	non	NC
76391_0628	1548093	8239003	LA LONDE	76391	ONF_2008	mare	public	oui	prelevement_eau_impossible	76391_0628_im1/76391_0628_im2/76391_0628_im3	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	4	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	fourres_bosquets	NC	aucun	non	non	ronde_ovale	15	14	15	naturel	100	non	faible_a_nul	mare_permanente	aucun	aucune	trouble	80	0	15	5	0	0	100	0	NC	NC	non	oui	non	non	non	non	non	non	non	non	non	non	non	desenvaser
76391_0629	1548486	8238581	LA LONDE	76391	ONF_2008	mare	public	oui	NC	76391_0629_im1/76391_0629_im2/76391_0629_im3/76391_0629_im4	23_10_2017	non	non	non	non	non	non	non	oui	de_foret	3	non	non	non	non	non	non	non	oui	non	non	non	non	non	non	aucun	plateau	bois_de_feuillus	NC	aucun	non	non	ronde_ovale	43	17	15	naturel	12,5	non	faible_a_nul	mare_permanente	aucun	aucune	NC	15	75	10	0	0	0	32,5	37,5	NC	NC	oui	non	non	non	non	non	non	non	non	non	non	non	non	NC
